icd_code,n,d,rate
0059,0,10,0.0
0071,0,2,0.0
0075,0,1,0.0
00845,1,17,0.058823529411764705
00863,1,6,0.16666666666666666
0088,2,65,0.03076923076923077
0090,0,4,0.0
0092,1,24,0.041666666666666664
0093,0,1,0.0
0340,2,143,0.013986013986013986
0341,0,1,0.0
035,0,2,0.0
037,0,1,0.0
04112,0,2,0.0
04186,0,1,0.0
0419,0,9,0.0
042,0,10,0.0
0479,0,6,0.0
0529,0,5,0.0
05311,1,4,0.25
05319,1,11,0.09090909090909091
05320,0,7,0.0
05321,0,2,0.0
05329,0,4,0.0
0538,0,1,0.0
0539,3,176,0.017045454545454544
05410,0,11,0.0
05411,0,6,0.0
05412,0,3,0.0
05413,0,3,0.0
05419,0,9,0.0
0542,0,3,0.0
05443,0,2,0.0
05444,0,1,0.0
0546,1,9,0.1111111111111111
05472,0,1,0.0
05479,0,1,0.0
0549,0,20,0.0
0570,0,1,0.0
0579,0,7,0.0
07030,0,3,0.0
07054,0,5,0.0
07070,7,105,0.06666666666666667
0709,1,1,1.0
0740,1,2,0.5
0743,0,8,0.0
075,0,19,0.0
0778,0,1,0.0
07799,0,17,0.0
0780,0,2,0.0
07810,0,1,0.0
07811,0,4,0.0
07812,0,7,0.0
0792,0,2,0.0
0794,0,1,0.0
07989,0,1,0.0
07998,0,3,0.0
07999,24,878,0.02733485193621868
08240,0,1,0.0
08249,0,1,0.0
0840,0,1,0.0
0846,0,2,0.0
08881,1,43,0.023255813953488372
08882,0,1,0.0
0949,0,1,0.0
0979,1,2,0.5
0980,0,2,0.0
0986,0,1,0.0
09889,0,1,0.0
0990,0,1,0.0
09941,0,1,0.0
09952,0,1,0.0
09953,0,1,0.0
09954,0,1,0.0
1100,0,3,0.0
1101,0,8,0.0
1103,0,13,0.0
1104,0,11,0.0
1105,0,19,0.0
1106,0,1,0.0
1108,0,3,0.0
1109,0,1,0.0
1110,0,1,0.0
1118,0,2,0.0
1119,0,5,0.0
1120,0,13,0.0
1121,5,82,0.06097560975609756
1122,0,1,0.0
1123,0,12,0.0
11289,0,1,0.0
1179,0,1,0.0
1221,0,1,0.0
1239,0,1,0.0
1270,0,1,0.0
13101,0,1,0.0
1319,0,2,0.0
1320,0,2,0.0
1322,0,1,0.0
1330,0,24,0.0
1340,0,1,0.0
1349,0,2,0.0
135,0,25,0.0
1369,0,1,0.0
1410,0,1,0.0
1419,0,1,0.0
1460,0,1,0.0
1479,0,1,0.0
1509,0,6,0.0
1519,0,4,0.0
1520,0,1,0.0
1539,0,11,0.0
1540,0,1,0.0
1541,0,7,0.0
1543,0,1,0.0
1548,0,1,0.0
1550,0,7,0.0
1561,0,3,0.0
