icd_code,n,d,rate
0059,0,10,0.0
0071,0,2,0.0
0075,0,1,0.0
00845,1,17,0.058823529411764705
00863,0,6,0.0
0088,1,65,0.015384615384615385
0090,0,4,0.0
0092,0,24,0.0
0093,0,1,0.0
0340,1,143,0.006993006993006993
0341,0,1,0.0
035,0,2,0.0
037,0,1,0.0
04112,0,2,0.0
04186,0,1,0.0
0419,0,9,0.0
042,0,10,0.0
0479,1,6,0.16666666666666666
0529,0,5,0.0
05311,0,4,0.0
05319,0,11,0.0
05320,0,7,0.0
05321,0,2,0.0
05329,0,4,0.0
0538,0,1,0.0
0539,2,176,0.011363636363636364
05410,0,11,0.0
05411,0,6,0.0
05412,0,3,0.0
05413,0,3,0.0
05419,0,9,0.0
0542,0,3,0.0
05443,0,2,0.0
05444,0,1,0.0
0546,1,9,0.1111111111111111
05472,0,1,0.0
05479,0,1,0.0
0549,0,20,0.0
0570,0,1,0.0
0579,0,7,0.0
07030,0,3,0.0
07054,0,5,0.0
07070,4,105,0.0380952380952381
0709,0,1,0.0
0740,0,2,0.0
0743,0,8,0.0
075,2,19,0.10526315789473684
0778,0,1,0.0
07799,0,17,0.0
0780,0,2,0.0
07810,0,1,0.0
07811,0,4,0.0
07812,0,7,0.0
0792,0,2,0.0
0794,0,1,0.0
07989,0,1,0.0
07998,0,3,0.0
07999,3,878,0.003416856492027335
08240,0,1,0.0
08249,0,1,0.0
0840,0,1,0.0
0846,0,2,0.0
08881,0,43,0.0
08882,0,1,0.0
0949,0,1,0.0
0979,1,2,0.5
0980,0,2,0.0
0986,0,1,0.0
09889,0,1,0.0
0990,0,1,0.0
09941,0,1,0.0
09952,0,1,0.0
09953,0,1,0.0
09954,0,1,0.0
1100,0,3,0.0
1101,0,8,0.0
1103,0,13,0.0
1104,0,11,0.0
1105,0,19,0.0
1106,0,1,0.0
1108,0,3,0.0
1109,0,1,0.0
1110,0,1,0.0
1118,0,2,0.0
1119,0,5,0.0
1120,0,13,0.0
1121,0,82,0.0
1122,0,1,0.0
1123,0,12,0.0
11289,0,1,0.0
1179,0,1,0.0
1221,0,1,0.0
1239,0,1,0.0
1270,0,1,0.0
13101,0,1,0.0
1319,0,2,0.0
1320,0,2,0.0
1322,0,1,0.0
1330,1,24,0.041666666666666664
1340,0,1,0.0
1349,0,2,0.0
135,1,25,0.04
1369,0,1,0.0
1410,0,1,0.0
1419,0,1,0.0
1460,0,1,0.0
1479,0,1,0.0
1509,0,6,0.0
1519,0,4,0.0
1520,0,1,0.0
1539,1,11,0.09090909090909091
1540,0,1,0.0
1541,1,7,0.14285714285714285
1543,0,1,0.0
1548,0,1,0.0
1550,0,7,0.0
1561,0,3,0.0
